project_id,group,artifact,version
P01_web,org.springframework,spring-webmvc,5.3.20
P01_web,com.fasterxml.jackson.core,jackson-databind,2.13.2
P02_logging,ch.qos.logback,logback-classic,1.2.10
P02_logging,org.apache.logging.log4j,log4j-core,2.17.1
P03_http,org.apache.httpcomponents,httpclient,4.5.13
P03_http,com.squareup.okhttp3,okhttp,4.9.3
P04_database,com.h2database,h2,2.1.210
P04_database,org.postgresql,postgresql,42.3.3
P05_dataformat,org.yaml,snakeyaml,1.30
P05_dataformat,com.google.code.gson,gson,2.8.9
P06_security,org.springframework.security,spring-security-web,5.6.3
P06_security,org.bouncycastle,bcprov-jdk15on,1.70
P07_network,io.netty,netty-codec-http,4.1.77.Final
P07_network,io.netty,netty-handler,4.1.77.Final
P08_messaging,org.apache.kafka,kafka-clients,3.1.0
P08_messaging,com.rabbitmq,amqp-client,5.14.2
P09_template,org.thymeleaf,thymeleaf,3.0.15.RELEASE
P09_template,org.freemarker,freemarker,2.3.31
P10_utils,org.apache.commons,commons-text,1.9
P10_utils,org.apache.commons,commons-compress,1.21
P10_utils,com.google.guava,guava,31.0.1-jre
